repo	files	nodes	edges	sccs_cyclic	dup_pairs	dup_per100f	size_mb	verdict
google/tensorstore	21	23	1	0	0	0.0	0	CLEAN
Slicer/Slicer	2311	2311	7357	4	94	4.1	49	VIOLATION_KEPT
aristocratos/btop	29	29	17	0	0	0.0	0	CLEAN
libjxl/libjxl	553	553	3702	0	8	1.4	13	VIOLATION_KEPT
llvm/circt	1077	1077	3725	0	54	5.0	44	VIOLATION_KEPT
carbon-language/carbon-lang	583	583	2876	0	9	1.5	103	VIOLATION_KEPT
o3de/o3de							228	TOO_BIG
y-scope/clp	683	683	2292	2	58	8.5	18	VIOLATION_KEPT
CollaboraOnline/online							455	TOO_BIG
CesiumGS/cesium-unreal	294	294	780	0	11	3.7	21	VIOLATION_KEPT
NVIDIA/stdexec	1	1	0	0	0	0.0	0	CLEAN
FEX-Emu/FEX	519	519	1927	1	14	2.7	28	VIOLATION_KEPT
simpleble/simpleble	369	369	803	0	27	7.3	9	VIOLATION_KEPT
simdutf/simdutf	400	400	638	0	49	12.2	14	VIOLATION_KEPT
artemsen/swayimg	75	75	148	0	2	2.7	6	VIOLATION_KEPT
fraunhoferhhi/vvenc	0	0	0	0	0		0	CLEAN
topling/toplingdb	1011	1011	5359	4	36	3.6	42	VIOLATION_KEPT
mozilla-mobile/mozilla-vpn-client	646	646	1772	0	4	0.6	32	VIOLATION_KEPT
ROCm/HIPIFY	2	2	1	0	0	0.0	0	CLEAN
logicalclocks/rondb							1900	TOO_BIG
beyond-all-reason/RecoilEngine							210	TOO_BIG
KinkyMakers/OSSM-hardware							821	TOO_BIG
ecubus/EcuBus-Pro							308	TOO_BIG
opengauss-mirror/openGauss-server							332	TOO_BIG
tksuoran/erhe	1508	1537	5846	4	62	4.1	44	VIOLATION_KEPT
bitcoin-core/gui	1093	1093	5120	0	24	2.2	80	VIOLATION_KEPT
josevcm/nfc-laboratory	350	350	725	1	37	10.6	72	VIOLATION_KEPT
Samsung/ONE							1234	TOO_BIG
zeek/spicy	571	571	9	0	7	1.2	17	VIOLATION_KEPT
jameshball/osci-render	260	260	573	0	1	0.4	88	VIOLATION_KEPT
nntrainer/nntrainer							393	TOO_BIG
Azure/azure-sdk-for-cpp	698	698	2544	0	39	5.6	29	VIOLATION_KEPT
nv-legate/legate	735	735	2951	163	11	1.5	25	VIOLATION_KEPT
open-telemetry/opentelemetry-dotnet-instrumentation	479	479	1139	33	16	3.3	21	VIOLATION_KEPT
pigweed-project/pigweed	0	0	0	0	0		0	CLEAN
Phobos-developers/Phobos	324	324	720	0	10	3.1	110	VIOLATION_KEPT
grommunio/gromox	436	436	2552	1	37	8.5	17	VIOLATION_KEPT
openhive-network/hive							406	TOO_BIG
iains/gcc-darwin-arm64							1360	TOO_BIG
doudar/SmartSpin2k							1265	TOO_BIG
brunoherbelin/vimix							228	TOO_BIG
RefPerSys/RefPerSys	118	118	120	0	27	22.9	7	VIOLATION_KEPT
LoRaMesher/LoRaMesher	127	127	348	0	5	3.9	7	VIOLATION_KEPT
IntelPython/dpnp							1285	TOO_BIG
mooch443/trex							233	TOO_BIG
teriflix/scrite	279	279	767	0	5	1.8	164	VIOLATION_KEPT
MOLAorg/mola_lidar_odometry	19	19	16	0	1	5.3	4	VIOLATION_KEPT
IntelPython/dpctl							246	TOO_BIG
rvdbreemen/OTGW-firmware	13	13	10	1	1	7.7	29	VIOLATION_KEPT
munich-quantum-toolkit/core	330	330	956	0	14	4.2	18	VIOLATION_KEPT
parthenon-hpc-lab/parthenon	293	293	1490	0	7	2.4	13	VIOLATION_KEPT
munich-quantum-toolkit/ddsim	23	23	39	0	4	17.4	6	VIOLATION_KEPT
munich-quantum-toolkit/qcec	36	36	98	0	0	0.0	0	CLEAN
XRPLF/clio	507	507	2238	0	10	2.0	16	VIOLATION_KEPT
Xilinx/Vitis_Model_Composer							361	TOO_BIG
munich-quantum-toolkit/qmap	134	134	368	0	8	6.0	11	VIOLATION_KEPT
signalapp/webrtc							433	TOO_BIG
UCLA-VAST/tapa	89	89	161	0	2	2.2	14	VIOLATION_KEPT
maitrungduc1410/webrtc							319	TOO_BIG
erf-model/ERF							305	TOO_BIG
exapde/Exasim							766	TOO_BIG
quokka-astro/quokka							260	TOO_BIG
ea4k/klog	194	194	438	0	10	5.2	13	VIOLATION_KEPT
tier4/scenario_simulator_v2	0	0	0	0	0		0	CLEAN
dismine/valentina							352	TOO_BIG
allen-cell-animated/agave	236	236	637	0	10	4.2	12	VIOLATION_KEPT
KeyWorksRW/wxUiEditor	782	782	2661	0	28	3.6	32	VIOLATION_KEPT
nrfconnect/sdk-connectedhomeip							269	TOO_BIG
celeritas-project/celeritas	1730	1730	9078	0	18	1.0	33	VIOLATION_KEPT
andeplane/atomify							366	TOO_BIG
libcamera-org/libcamera	604	604	2064	1	13	2.2	13	VIOLATION_KEPT
defold/extension-rive							4340	TOO_BIG
tlapack/tlapack	333	333	1059	3	24	7.2	6	VIOLATION_KEPT
LutzGross/esys-escript.github.io							840	TOO_BIG
acts-project/traccc	611	611	2289	2	14	2.3	11	VIOLATION_KEPT
CubePilot/qgroundcontrol-herelink							561	TOO_BIG
fernandotonon/QtMeshEditor	371	371	685	0	29	7.8	83	VIOLATION_KEPT
sharjith/ModelViewer-Qt							6029	TOO_BIG
small-db/small-db	3	3	0	0	0	0.0	0	CLEAN
frstrtr/c2pool	269	273	718	0	18	6.7	12	VIOLATION_KEPT
egege/webrtc-src							250	TOO_BIG
esrrhs/fakelua	65	65	151	0	4	6.2	56	VIOLATION_KEPT
live-clones/eigen							419	TOO_BIG
solidi/hl-mods							431	TOO_BIG
AntaresSimulatorTeam/antares-xpansion	312	312	750	0	6	1.9	30	VIOLATION_KEPT
clEsperanto/CLIc	184	184	757	0	3	1.6	6	VIOLATION_KEPT
centreon/centreon-collect	173	173	415	1	11	6.4	31	VIOLATION_KEPT
TheochemUI/eOn							383	TOO_BIG
libsemigroups/libsemigroups_pybind11	51	51	57	0	0	0.0	0	CLEAN
conradhuebler/curcuma	282	282	820	1	28	9.9	22	VIOLATION_KEPT
AlexandriaChemistry/ACT							207	TOO_BIG
djeada/Lightpad	358	360	689	0	18	5.0	8	VIOLATION_KEPT
crdroidandroid/android_frameworks_av							303	TOO_BIG
Asher-1/ACloudViewer							1352	TOO_BIG
sswroom/SClass	5502	5506	28478	1	136	2.5	90	VIOLATION_KEPT
ibis-ssl/crane	262	262	588	0	2	0.8	13	VIOLATION_KEPT
legend-exp/remage							611	TOO_BIG
crdroidandroid/android_frameworks_native	65	65	5	0	0	0.0	0	CLEAN
Srlive1201/LibRPA	170	172	703	0	12	7.1	152	VIOLATION_KEPT
psryland/rylogic-code							264	TOO_BIG
hydrobricks/hydrobricks	196	196	533	1	5	2.6	12	VIOLATION_KEPT
imperialCHEPI/healthgps	256	256	658	0	10	3.9	8	VIOLATION_KEPT
deskull-m/bakabakaband	2115	2115	16396	2	17	0.8	82	VIOLATION_KEPT
luyuancpp/mmorpg							1285	TOO_BIG
externpro/buildpro	0	0	0	0	0		0	CLEAN
sailfishos-mirror/zxing-cpp							252	TOO_BIG
maflcko/bitcoin-core-with-ci	1073	1073	4792	0	24	2.2	65	VIOLATION_KEPT
crow-misia/libwebrtc							231	TOO_BIG
AMS21/DLXEmu							815	TOO_BIG
zhao-shihan/MACESW	20	20	0	0	3	15.0	6	VIOLATION_KEPT
SciQLop/SciQLopPlots	211	212	523	0	6	2.8	6	VIOLATION_KEPT
carlos-sweb/scrapy-indicadores	4	4	3	0	1	25.0	12	VIOLATION_KEPT
sailfishos-mirror/kio							764	TOO_BIG
yaap/frameworks_native	65	65	5	0	0	0.0	0	CLEAN
CanftIn/CanftIn	1	1	0	0	0	0.0	0	CLEAN
sailfishos-mirror/qtmultimedia	948	948	1137	0	31	3.3	41	VIOLATION_KEPT
henrikgrubbe/breadboard_computer	6	6	8	0	0	0.0	0	CLEAN
sailfishos-mirror/protobuf	1099	1099	6082	1	472	42.9	61	VIOLATION_KEPT
ca2/operating_system-posix	4528	4576	3824	0	335	7.4	53	VIOLATION_KEPT
google-deepmind/mujoco	18	18	0	0	0	0.0	0	CLEAN
MaaAssistantArknights/MaaAssistantArknights							1073	TOO_BIG
facebookincubator/velox							257	TOO_BIG
dragonflydb/dragonfly	405	405	1449	0	8	2.0	23	VIOLATION_KEPT
autowarefoundation/autoware_universe							450	TOO_BIG
LizardByte/Sunshine	142	142	478	0	8	5.6	36	VIOLATION_KEPT
espressif/esp-matter	223	223	153	0	3	1.3	21	VIOLATION_KEPT
google/crubit	241	241	488	0	1	0.4	24	VIOLATION_KEPT
userver-framework/userver	3452	3454	13028	0	46	1.3	58	VIOLATION_KEPT
dsp56300/gearmulator							497	TOO_BIG
risc0/risc0							339	TOO_BIG
ramensoftware/windhawk-mods							372	TOO_BIG
bdring/FluidNC	493	493	1157	1	22	4.5	13	VIOLATION_KEPT
mpc-qt/mpc-qt	81	81	165	0	2	2.5	14	VIOLATION_KEPT
MeshInspector/MeshLib	1532	1533	7352	1	25	1.6	73	VIOLATION_KEPT
google/quiche	1338	1338	7148	0	25	1.9	33	VIOLATION_KEPT
intel/compile-time-init-build	144	144	325	0	2	1.4	4	VIOLATION_KEPT
blender/cycles	693	693	2524	1	23	3.3	16	VIOLATION_KEPT
saturneric/GpgFrontend	432	432	1293	0	7	1.6	11	VIOLATION_KEPT
EVerest/EVerest	2060	2061	4549	1	41	2.0	64	VIOLATION_KEPT
ROCm/composable_kernel	5053	5053	19636	9	145	2.9	188	VIOLATION_KEPT
dpaulat/supercell-wx	598	598	1476	0	14	2.3	11	VIOLATION_KEPT
markaren/threepp	726	726	2048	2	24	3.3	158	VIOLATION_KEPT
cvanaret/Uno	232	232	772	0	6	2.6	13	VIOLATION_KEPT
ZuluSCSI/ZuluSCSI-firmware	258	258	633	0	30	11.6	11	VIOLATION_KEPT
MonsterDruide1/OdysseyDecomp							272	TOO_BIG
OpenKneeboard/OpenKneeboard	487	487	1722	0	5	1.0	34	VIOLATION_KEPT
pyside/pyside-setup	444	444	1583	0	9	2.0	36	VIOLATION_KEPT
Xilinx/mlir-air	217	217	335	0	35	16.1	17	VIOLATION_KEPT
ReactiveDrop/reactivedrop_public_src							463	TOO_BIG
getsentry/sentry-unreal	308	308	805	0	8	2.6	6	VIOLATION_KEPT
autowarefoundation/autoware_core	0	0	0	0	0		0	CLEAN
amd/ZenDNN	1	1	0	0	0	0.0	0	CLEAN
jermp/sshash	42	42	69	1	0	0.0	28	VIOLATION_KEPT
tink-crypto/tink-cc	0	0	0	0	0		0	CLEAN
ncbi/ncbi-cxx-toolkit-public							570	TOO_BIG
spicelang/spice	158	158	560	0	4	2.5	12	VIOLATION_KEPT
bolucat/Archive							1229	TOO_BIG
linuxdeepin/treeland	576	576	1927	0	31	5.4	11	VIOLATION_KEPT
BLAST-ImpactX/impactx	90	90	0	0	0	0.0	0	CLEAN
LBALab/lba2-classic-community	9	9	9	0	0	0.0	0	CLEAN
opendcdiag/opendcdiag	141	141	246	0	4	2.8	4	VIOLATION_KEPT
Open-CMSIS-Pack/devtools	302	302	1010	0	8	2.6	17	VIOLATION_KEPT
StreamUPTips/obs-streamup	102	102	267	0	10	9.8	6	VIOLATION_KEPT
eigen-mirror/eigen	1138	1138	623	0	28	2.5	26	VIOLATION_KEPT
gstlearn/gstlearn	814	814	3930	0	42	5.2	74	VIOLATION_KEPT
scylladb/cpp-rs-driver	5	5	0	0	0	0.0	0	CLEAN
munich-quantum-toolkit/syrec	72	72	232	0	1	1.4	7	VIOLATION_KEPT
eigendude/OASIS	311	311	421	0	6	1.9	109	VIOLATION_KEPT
loda-lang/loda-cpp	170	170	639	0	1	0.6	4	VIOLATION_KEPT
openharmony/communication_dsoftbus	0	0	0	0	0		0	CLEAN
webrtc-mirror/webrtc							390	TOO_BIG
drsnuggles8/OloEngineBase							381	TOO_BIG
facebookexperimental/edencommon	113	113	110	0	5	4.4	4	VIOLATION_KEPT
sonic-net/sonic-pins	47	47	30	0	0	0.0	0	CLEAN
ciaranm/glasgow-constraint-solver	256	256	1233	0	10	3.9	6	VIOLATION_KEPT
danielatrivella/NP3_MS_Workflow							594	TOO_BIG
GenieTim/pylimer-tools							336	TOO_BIG
osamu620/OpenHTJ2K	68	68	140	0	2	2.9	151	VIOLATION_KEPT
pg83/std	327	327	1224	0	11	3.4	5	VIOLATION_KEPT
w3c/ift-encoder	150	150	573	0	4	2.7	13	VIOLATION_KEPT
jimhester/libvroom	104	104	188	0	22	21.2	8	VIOLATION_KEPT
openharmony/communication_ipc	0	0	0	0	0		0	CLEAN
xfce-mirror/xfce4-docklike-plugin	29	29	65	1	0	0.0	2	VIOLATION_KEPT
battlesloth/AstrOs.ESP	109	109	196	0	0	0.0	0	CLEAN
pcornier/iigs_simulation	70	70	114	0	6	8.6	13	VIOLATION_KEPT
openharmony/startup_appspawn	0	0	0	0	0		0	CLEAN
openharmony/powermgr_power_manager	0	0	0	0	0		0	CLEAN
openharmony/multimodalinput_input	0	0	0	0	0		0	CLEAN
openharmony/hiviewdfx_faultloggerd	0	0	0	0	0		0	CLEAN
openharmony/account_os_account	0	0	0	0	0		0	CLEAN
BoleynSu-Org/monorepo	1156	1159	40	0	23	2.0	30	VIOLATION_KEPT
rapastranac/gempba	33	33	59	0	13	39.4	24	VIOLATION_KEPT
openharmony/drivers_peripheral	60	60	34	0	2	3.3	59	VIOLATION_KEPT
swiftforarduino/swift							747	TOO_BIG
Bemental77/Bemental77.github.io							5644	TOO_BIG
ytsaurus/ytsaurus							1156	TOO_BIG
openxla/xla							362	TOO_BIG
ggml-org/llama.cpp							405	TOO_BIG
NVIDIA/cuda-quantum							1987	TOO_BIG
christianrauch/libcamera	604	604	2064	1	13	2.2	13	VIOLATION_KEPT
OrcaSlicer/OrcaSlicer							1101	TOO_BIG
tenstorrent/tt-metal							1311	TOO_BIG
community-shaders/skyrim-community-shaders							358	TOO_BIG
HIllya51/LunaTranslator	718	721	709	0	5	0.7	29	VIOLATION_KEPT
category-labs/monad	549	549	2977	0	14	2.6	36	VIOLATION_KEPT
dalathegreat/Battery-Emulator	348	348	1061	0	8	2.3	19	VIOLATION_KEPT
MaaXYZ/MaaFramework	384	384	931	1	7	1.8	10	VIOLATION_KEPT
man-group/ArcticDB							237	TOO_BIG
cloudflare/workerd	56	56	30	0	1	1.8	35	VIOLATION_KEPT
ggml-org/whisper.cpp	655	655	1523	0	65	9.9	51	VIOLATION_KEPT
official-pikafish/Pikafish	64	64	234	0	7	10.9	4	VIOLATION_KEPT
bambulab/BambuStudio							964	TOO_BIG
shadps4-emu/shadPS4	775	777	2792	0	24	3.1	97	VIOLATION_KEPT
unum-cloud/USearch	18	18	21	0	8	44.4	4	VIOLATION_KEPT
ggml-org/ggml	431	431	1180	0	51	11.8	37	VIOLATION_KEPT
openwebf/webf							302	TOO_BIG
sophgo/tpu-mlir							5918	TOO_BIG
tenacityteam/tenacity							303	TOO_BIG
awslabs/palace							371	TOO_BIG
mod-playerbots/mod-playerbots	1312	1312	4242	0	19	1.4	41	VIOLATION_KEPT
AztecProtocol/aztec-packages							1400	TOO_BIG
infiniflow/infinity	190	191	49	0	15	7.9	86	VIOLATION_KEPT
spice2x/spice2x.github.io	695	695	2422	1	16	2.3	22	VIOLATION_KEPT
nvidia-holoscan/holohub							487	TOO_BIG
NVIDIAGameWorks/dxvk-remix	861	863	1947	2	93	10.8	37	VIOLATION_KEPT
f-koehler/KTailctl	54	54	105	0	0	0.0	0	CLEAN
rpm-software-management/dnf5	850	850	2852	0	12	1.4	19	VIOLATION_KEPT
lingo-db/lingo-db	353	353	1060	0	27	7.6	20	VIOLATION_KEPT
BlueSCSI/BlueSCSI-v2	126	126	303	0	5	4.0	13	VIOLATION_KEPT
xiphonics/picoTracker	353	353	1184	0	4	1.1	114	VIOLATION_KEPT
FirestormViewer/phoenix-firestorm							292	TOO_BIG
ROCm/clr								CLONE_FAIL
ydb-platform/nbs							949	TOO_BIG
jklappenbach/cajeta								CLONE_FAIL
OpenAtom-Linyaps/linyaps	412	412	1247	1	2	0.5	25	VIOLATION_KEPT
OpenXiangShan/GEM5	707	707	1406	3	50	7.1	102	VIOLATION_KEPT
NVIDIA/Fuser	591	590	3292	2	25	4.2	51	VIOLATION_KEPT
cppalliance/mrdocs	271	270	5	0	1	0.4	27	VIOLATION_KEPT
ROCm/amdsmi	1	1	0	0	0	0.0	0	CLEAN
arc-research-lab/CHARM							313	TOO_BIG
simutrans/simutrans	848	848	5688	0	11	1.3	17	VIOLATION_KEPT
ENZYME-APD/tapir-archicad-automation	61	61	124	0	1	1.6	140	VIOLATION_KEPT
taodd/cephtrace	13	13	19	0	2	15.4	10	VIOLATION_KEPT
compiler-research/CppInterOp	23	23	31	1	1	4.3	4	VIOLATION_KEPT
AlchemyViewer/Alchemy							220	TOO_BIG
ayon-ssp/The-SDE-Prep	198	198	0	0	0	0.0	0	CLEAN
sedited/rust-bitcoinkernel	1089	1089	4967	0	24	2.2	49	VIOLATION_KEPT
u236/homed-service-zigbee	56	56	104	0	0	0.0	0	CLEAN
PrincetonUniversity/SPECFEMPP							328	TOO_BIG
IDNI/tau-lang	100	100	185	15	3	3.0	10	VIOLATION_KEPT
oneapi-src/unified-runtime	400	400	1419	0	34	8.5	31	VIOLATION_KEPT
DanceManiac/Advanced-X-Ray-Public							378	TOO_BIG
privatevoid-net/nix-super	729	729	2858	1	6	0.8	64	VIOLATION_KEPT
uxlfoundation/oneapi-construction-kit	9	9	2	0	0	0.0	0	CLEAN
ROCm/hip-tests	1310	1311	2289	0	36	2.7	21	VIOLATION_KEPT
grafana/pyroscope-dotnet	402	403	745	11	12	3.0	98	VIOLATION_KEPT
qt/qtgraphs	300	300	315	0	9	3.0	20	VIOLATION_KEPT
qt/qtgrpc	190	190	127	0	4	2.1	12	VIOLATION_KEPT
savoirfairelinux/jami-client-qt							224	TOO_BIG
kevlu8/PZChessBot	47	47	93	1	1	2.1	5	VIOLATION_KEPT
iTwin/imodel-native							402	TOO_BIG
OpenMagnetics/MKF	192	192	978	0	14	7.3	78	VIOLATION_KEPT
DataDog/java-profiler	104	104	263	0	5	4.8	6	VIOLATION_KEPT
rossvideo/Catena	19	19	1	0	3	15.8	49	VIOLATION_KEPT
EXP-code/EXP	392	396	20	0	60	15.3	18	VIOLATION_KEPT
contour-terminal/endo	706	706	1684	0	26	3.7	17	VIOLATION_KEPT
doyaGu/BallanceModLoaderPlus	142	142	292	0	2	1.4	5	VIOLATION_KEPT
PeterHallonmark/clang-tidy-automotive	235	235	379	0	4	1.7	3	VIOLATION_KEPT
Porcupine-Factory/FirstPersonController	33	33	59	0	8	24.2	2	VIOLATION_KEPT
hiero-ledger/hiero-sdk-cpp	631	631	2735	0	13	2.1	11	VIOLATION_KEPT
OpenSEMBA/dgtd	75	75	134	0	3	4.0	67	VIOLATION_KEPT
VTT-ProperTune/OpenPFC	327	327	964	1	13	4.0	17	VIOLATION_KEPT
xms0g/abra							342	TOO_BIG
Emute-Lab-Instruments/uSEQ	105	105	169	0	5	4.8	32	VIOLATION_KEPT
scawful/yaze	1403	1403	5026	0	231	16.5	43	VIOLATION_KEPT
eic/EICrecon	429	429	968	0	16	3.7	12	VIOLATION_KEPT
vowstar/qsoc	349	349	698	0	20	5.7	10	VIOLATION_KEPT
ThomasGhione/chess_engine	377	377	1319	1	2	0.5	117	VIOLATION_KEPT
microsoft/Teams-AdaptiveCards-Mobile	547	413	824	3	1	0.2	12	VIOLATION_KEPT
GenSpectrum/LAPIS-SILO	454	454	1392	0	5	1.1	13	VIOLATION_KEPT
GrapheneOS/platform_packages_modules_Bluetooth							262	TOO_BIG
amd/ZenDNN-tensorflow-plugin	2	2	0	0	0	0.0	0	CLEAN
ObjectVision/GeoDMS	854	855	5393	1	28	3.3	29	VIOLATION_KEPT
haxscramper/haxorg	320	334	1195	1	9	2.8	18	VIOLATION_KEPT
Matthew-McRaven/Pepp	748	748	1728	4	26	3.5	37	VIOLATION_KEPT
multi-ego/multi-eGO							586	TOO_BIG
LineageOS/android_packages_modules_Bluetooth							391	TOO_BIG
seoklab/nurikit	106	106	355	0	10	9.4	6	VIOLATION_KEPT
masc-ucsc/hhds	24	24	42	0	2	8.3	16	VIOLATION_KEPT
Royna2544/c_cpp_telegrambot	184	184	432	0	1	0.5	17	VIOLATION_KEPT
MundyRepo/MuNDy	193	193	662	0	17	8.8	70	VIOLATION_KEPT
RebelToolbox/RebelEngine	2005	2005	7693	5	130	6.5	176	VIOLATION_KEPT
beerda/nuggets	137	137	304	1	6	4.4	5	VIOLATION_KEPT
gvsoc/gvsoc-core	111	111	18	0	12	10.8	13	VIOLATION_KEPT
xord/all	402	402	1062	0	7	1.7	5	VIOLATION_KEPT
aegis-aead/boringssl	13	14	0	0	1	7.7	113	VIOLATION_KEPT
sailfishos-mirror/abseil-cpp	5	5	0	0	0	0.0	0	CLEAN
VoltageOS/packages_modules_Bluetooth							282	TOO_BIG
art-daq/otsdaq	311	311	716	0	4	1.3	9	VIOLATION_KEPT
crdroidandroid/android_packages_modules_Bluetooth							276	TOO_BIG
Unispace365/DsQt	185	185	310	1	4	2.2	68	VIOLATION_KEPT
alexwu1984/MiniEngine							294	TOO_BIG
Mu2e/otsdaq-mu2e	28	28	22	0	3	10.7	9	VIOLATION_KEPT
damacaa/weird-engine	104	104	232	0	2	1.9	15	VIOLATION_KEPT
Palpitate-xus/DBMS_C_plus_plus	34	34	40	0	9	26.5	5	VIOLATION_KEPT
raspberry-vanilla/android_external_drm_hwcomposer	0	0	0	0	0		0	CLEAN
Bipto/Nexus	473	473	1447	6	19	4.0	193	VIOLATION_KEPT
godot42x/ya	500	502	1623	0	27	5.4	52	VIOLATION_KEPT
danielnachun/recipe_staging	230	230	582	11	27	11.7	34	VIOLATION_KEPT
ZeraGmbH/zenux-services	582	582	1058	0	16	2.7	9	VIOLATION_KEPT
freebsd/freebsd-src							3402	TOO_BIG
GregorGullwi/FlashCpp	169	169	697	4	35	20.7	45	VIOLATION_KEPT
tomconder/maze	130	130	294	0	7	5.4	22	VIOLATION_KEPT
nrfconnect/sdk-nrf							218	TOO_BIG
illumos/illumos-gate							571	TOO_BIG
wolfSSL/wolfssl							913	TOO_BIG
zephyrproject-rtos/zephyr							877	TOO_BIG
timescale/timescaledb	220	220	650	1	11	5.0	28	VIOLATION_KEPT
haproxy/haproxy	619	619	3626	3	50	8.1	38	VIOLATION_KEPT
lede-project/source							286	TOO_BIG
libssh2/libssh2	38	38	30	0	2	5.3	5	VIOLATION_KEPT
openwrt/openwrt							296	TOO_BIG
apache/nuttx							378	TOO_BIG
curl/curl	623	623	2437	1	28	4.5	47	VIOLATION_KEPT
asterisk/asterisk							382	TOO_BIG
arendst/Tasmota							280	TOO_BIG
tianocore/edk2							340	TOO_BIG
hathach/tinyusb	362	362	165	0	9	2.5	31	VIOLATION_KEPT
Kitware/CMake	2197	2197	8506	1	74	3.4	152	VIOLATION_KEPT
FRRouting/frr	1375	1375	11127	3	88	6.4	69	VIOLATION_KEPT
AOMediaCodec/libavif	66	66	120	0	0	0.0	0	CLEAN
wireshark/wireshark							1470	TOO_BIG
FreeRADIUS/freeradius-server	945	945	560	3	36	3.8	43	VIOLATION_KEPT
ColinIanKing/stress-ng	526	526	2169	1	22	4.2	27	VIOLATION_KEPT
rsyslog/rsyslog	72	72	134	0	5	6.9	38	VIOLATION_KEPT
wiredtiger/wiredtiger	407	407	438	1	18	4.4	54	VIOLATION_KEPT
bloomberg/comdb2	541	541	1177	0	50	9.2	54	VIOLATION_KEPT
fwupd/fwupd	1728	1728	3793	1	59	3.4	48	VIOLATION_KEPT
videolan/vlc							655	TOO_BIG
ElementsProject/lightning	798	798	3665	0	35	4.4	56	VIOLATION_KEPT
FFmpeg/FFmpeg							479	TOO_BIG
OpenVPN/openvpn	263	263	1091	2	11	4.2	10	VIOLATION_KEPT
unikraft/unikraft	615	616	1133	1	14	2.3	16	VIOLATION_KEPT
analogdevicesinc/no-OS							362	TOO_BIG
lvgl/lvgl							521	TOO_BIG
GStreamer/gstreamer							371	TOO_BIG
rspamd/rspamd	29	29	1	0	0	0.0	0	CLEAN
apache/httpd							386	TOO_BIG
open5gs/open5gs	7064	7069	22541	2	52	0.7	87	VIOLATION_KEPT
SWI-Prolog/swipl-devel	71	71	79	0	1	1.4	16	VIOLATION_KEPT
OpenSC/OpenSC	296	296	953	1	16	5.4	12	VIOLATION_KEPT
openvswitch/ovs	37	37	19	0	1	2.7	22	VIOLATION_KEPT
systemd/systemd							654	TOO_BIG
openucx/ucx	662	662	3125	1	9	1.4	23	VIOLATION_KEPT
mackyle/sqlite							205	TOO_BIG
netdata/netdata							272	TOO_BIG
openbsd/src							1646	TOO_BIG
redis/redis							213	TOO_BIG
GNOME/gimp							853	TOO_BIG
google/XNNPACK	9293	9293	35749	0	102	1.1	216	VIOLATION_KEPT
openssh/openssh-portable	203	203	529	0	7	3.4	10	VIOLATION_KEPT
checkpoint-restore/criu	614	598	1699	0	10	1.6	12	VIOLATION_KEPT
SchedMD/slurm							350	TOO_BIG
RediSearch/RediSearch	444	444	1711	1	5	1.1	36	VIOLATION_KEPT
microsoft/msquic							333	TOO_BIG
postgres/postgres							746	TOO_BIG
networkupstools/nut	422	422	1120	1	49	11.6	23	VIOLATION_KEPT
betaflight/betaflight							416	TOO_BIG
raysan5/raylib							420	TOO_BIG
espressif/esp-idf							433	TOO_BIG
PipeWire/pipewire	974	974	5129	9	98	10.1	24	VIOLATION_KEPT
qemu/qemu							679	TOO_BIG
inspektor-gadget/inspektor-gadget	108	108	285	0	1	0.9	36	VIOLATION_KEPT
spdk/spdk							287	TOO_BIG
linux-test-project/ltp	4710	4712	6882	1	47	1.0	42	VIOLATION_KEPT
universal-ctags/ctags	904	906	2384	0	25	2.8	25	VIOLATION_KEPT
GaijinEntertainment/daScript	498	498	1708	1	59	11.8	160	VIOLATION_KEPT
ClusterLabs/pacemaker	464	464	2001	3	9	1.9	28	VIOLATION_KEPT
mpv-player/mpv	370	370	1859	0	6	1.6	21	VIOLATION_KEPT
drawpile/Drawpile	1243	1243	3579	0	51	4.1	59	VIOLATION_KEPT
mltframework/mlt	460	460	1129	0	26	5.7	12	VIOLATION_KEPT
open-mpi/ompi	2397	2398	11249	9	62	2.6	49	VIOLATION_KEPT
mruby/mruby	216	216	823	0	15	6.9	14	VIOLATION_KEPT
pjsip/pjproject	884	885	3636	0	53	6.0	47	VIOLATION_KEPT
leo-arch/clifm	122	122	524	0	4	3.3	24	VIOLATION_KEPT
facebookincubator/katran	171	171	352	1	3	1.8	9	VIOLATION_KEPT
sqlite/sqlite							540	TOO_BIG
libretro/RetroArch							613	TOO_BIG
arkime/arkime	138	138	138	0	22	15.9	16	VIOLATION_KEPT
OSGeo/grass							567	TOO_BIG
FDio/vpp							510	TOO_BIG
